currentWeekPosition,previousWeekPosition,peakPosition,Total Weeks,titleArtist,entryDate,entryPosition,,,Song Title,Artist,
38,29,11,21,Trip                                                        ELLA MAI,2018-08-18,79,11,21,Trip,ELLA MAI,
39,40,1,38,"I Like It                                                   CARDI B, BAD BUNNY & J BALVIN",2018-04-21,8,1,38,I Like It," CARDI B, BAD BUNNY & J BALVIN",
40,NEW,40,1,Blue Christmas                                              ELVIS PRESLEY,2019-01-05,40,40,1,Blue Christmas,ELVIS PRESLEY,
41,36,33,16,Speechless                                                  DAN + SHAY,2018-09-22,95,33,16,Speechless,DAN + SHAY,
42,45,42,2,Happy Xmas (War Is Over)                                    JOHN & YOKO / THE PLASTIC ONO BAND with THE HARLEM COMMUNITY,2018-12-29,45,42,2,Happy Xmas (War Is Over),JOHN & YOKO / THE PLASTIC ONO BAND with THE HARLEM COMMUNITY,
43,50,43,2,Christmas (Baby Please Come Home)                           DARLENE LOVE,2018-12-29,50,43,2,Christmas (Baby Please Come Home), DARLENE LOVE,
44,NEW,44,1,Underneath The Tree                                         KELLY CLARKSON,2019-01-05,44,44,1,Underneath The Tree, KELLY CLARKSON,
45,NEW,45,1,Run Rudolph Run                                             CHUCK BERRY,2019-01-05,45,45,1,Run Rudolph Run, CHUCK BERRY,
46,43,13,23,Natural                                                     IMAGINE DRAGONS,2018-08-04,37,13,23,Natural, IMAGINE DRAGONS,
47,NEW,47,1,Wow.                                                        POST MALONE,2019-01-05,47,47,1,Wow.,POST MALONE,
48,37,9,45,Love Lies                                                   KHALID & NORMANI,2018-03-03,43,9,45,Love Lies, KHALID & NORMANI,
49,NEW,49,1,Jingle Bells                                                FRANK SINATRA,2019-01-05,49,49,1,Jingle Bells,FRANK SINATRA,
50,38,30,21,Beautiful                                                   BAZZI featuring CAMILA CABELLO,2018-08-18,60,30,21,Beautiful, BAZZI featuring CAMILA CABELLO,
51,39,29,15,Better                                                      KHALID,2018-09-29,45,29,15,Better,KHALID,
52,44,5,13,Shallow                                                     LADY GAGA & BRADLEY COOPER,2018-10-13,28,5,13,Shallow, LADY GAGA & BRADLEY COOPER,
53,68,53,2,Cozy Little Christmas                                       KATY PERRY,2018-12-29,68,53,2,Cozy Little Christmas, KATY PERRY,
54,51,34,20,She Got The Best Of Me                                      LUKE COMBS,2018-08-25,95,34,20,She Got The Best Of Me,LUKE COMBS,
55,90,55,2,The Christmas Song                                          LAUREN DAIGLE,2018-12-29,90,55,2,The Christmas Song,LAUREN DAIGLE,
56,49,7,13,Uproar                                                      LIL WAYNE,2018-10-13,7,7,13,Uproar,LIL WAYNE,
57,NEW,57,1,Swervin                                                     A BOOGIE WIT DA HOODIE featuring 6IX9INE,2019-01-05,57,57,1,Swervin, A BOOGIE WIT DA HOODIE featuring 6IX9INE,
58,NEW,58,1,Can't Leave Without It                                      21 SAVAGE,2019-01-05,58,58,1,Can't Leave Without It,21 SAVAGE,
59,59,44,24,You Say                                                     LAUREN DAIGLE,2018-07-28,53,44,24,You Say, LAUREN DAIGLE,
60,57,57,6,Close To Me                                                 ELLIE GOULDING x DIPLO featuring SWAE LEE,2018-12-01,98,57,6,Close To Me, ELLIE GOULDING x DIPLO featuring SWAE LEE,
61,55,46,15,Best Shot                                                   JIMMIE ALLEN,2018-09-29,97,46,15,Best Shot, JIMMIE ALLEN,
62,53,31,18,Dangerous                                                   MEEK MILL featuring JEREMIH & PNB ROCK,2018-09-08,88,31,18,Dangerous, MEEK MILL featuring JEREMIH & PNB ROCK,
63,63,63,9,Be Alright                                                  DEAN LEWIS,2018-11-10,94,63,9,Be Alright,DEAN LEWIS,
64,54,53,19,Drunk Me                                                    MITCHELL TENPENNY,2018-09-01,83,53,19,Drunk Me,MITCHELL TENPENNY,
65,NEW,65,1,Startender                                                  A BOOGIE WIT DA HOODIE featuring OFFSET & TYGA,2019-01-05,65,65,1,Startender,A BOOGIE WIT DA HOODIE featuring OFFSET & TYGA,
66,96,66,3,Look Back At It                                             A BOOGIE WIT DA HOODIE,2018-12-22,95,66,3,Look Back At It, A BOOGIE WIT DA HOODIE,
67,NEW,67,1,All My Friends                                              21 SAVAGE,2019-01-05,67,67,1,All My Friends,21 SAVAGE,
68,52,16,7,Bad!                                                        XXXTENTACION,2018-11-24,16,16,7,Bad!,XXXTENTACION,
69,64,64,10,Backin' It Up                                               PARDISON FONTAINE faeturing CARDI B,2018-11-03,95,64,10,Backin' It Up, PARDISON FONTAINE faeturing CARDI B,
70,NEW,70,1,Break Da Law                                                21 SAVAGE,2019-01-05,70,70,1,Break Da Law,21 SAVAGE,
71,24,24,2,Imagine                                                     ARIANA GRANDE,2018-12-29,24,24,2,Imagine, ARIANA GRANDE,
72,61,61,9,TAlk tO Me                                                  TORY LANEZ & RICH THE KID,2018-11-10,76,61,9,TAlk tO Me,TORY LANEZ & RICH THE KID,
73,NEW,73,1,Monster                                                     21 SAVAGE,2019-01-05,73,73,1,Monster, 21 SAVAGE,
74,46,46,4,Calling My Spirit                                           KODAK BLACK,2018-12-15,64,46,4,Calling My Spirit, KODAK BLACK,
75,69,69,8,Consequences                                                CAMILA CABELLO,2018-11-17,97,69,8,Consequences,CAMILA CABELLO,
76,60,44,7,Armed And Dangerous                                         JUICE WRLD,2018-11-24,44,44,7,Armed And Dangerous, JUICE WRLD,
77,62,28,9,Arms Around You                                             XXXTENTACION & LIL PUMP featuring MALUMA & SWAE LEE,2018-11-10,28,28,9,Arms Around You, XXXTENTACION & LIL PUMP featuring MALUMA & SWAE LEE,
78,56,56,4,Nothing Breaks Like A Heart                                 MIKE RONSON featuring MILEY CYRUS,2018-12-15,67,56,4,Nothing Breaks Like A Heart, MIKE RONSON featuring MILEY CYRUS,
79,67,67,7,Sixteen                                                     THOMAS RHETT,2018-11-24,91,67,7,Sixteen, THOMAS RHETT,
80,65,65,10,Burning Man                                                 DIERKS BENTLEY featuring BROTHERS OSBORNE,2018-11-03,100,65,10,Burning Man, DIERKS BENTLEY featuring BROTHERS OSBORNE,
81,81,81,3,Beautiful Crazy                                             LUKE COMBS,2018-12-22,97,81,3,Beautiful Crazy, LUKE COMBS,
82,77,52,10,When The Party's Over                                       BILLIE EILISH,2018-11-03,65,52,10,When The Party's Over, BILLIE EILISH,
83,87,83,2,Sweet But Psycho                                            AVA MAX,2018-12-29,87,83,2,Sweet But Psycho,AVA MAX,
84,66,66,9,This Feeliing                                               THE CHAINSMOKERS featuring KELSEA BALLERINI,2018-11-10,98,66,9,This Feeliing, THE CHAINSMOKERS featuring KELSEA BALLERINI,
85,75,75,5,You                                                         JACQUEES,2018-12-08,90,75,5,You, JACQUEES,
86,NEW,86,1,1.5                                                         21 SAVAGE,2019-01-05,86,86,1,1.5, 21 SAVAGE,
87,71,71,3,Girl Like You                                               JASON ALDEAN,2018-12-22,77,71,3,Girl Like You, JASON ALDEAN,
