currentWeekPosition,previousWeekPosition,peakPosition,Total Weeks,titleArtist,entryDate,entryPosition,,,Song Title,Artist,
57,66,57,5,She Got The Best Of Me                                      LUKE COMBS,2018-08-25,95,34,20,She Got The Best Of Me,LUKE COMBS,
58,51,36,12,Life Changes                                                THOMAS RHETT,2018-07-07,92,36,14,Life Changes,THOMAS RHETT,
59,68,59,4,Blue Tacoma                                                 RUSSELL DICKERSON,2018-09-01,77,52,15,Blue Tacoma, RUSSELL DICKERSON,
60,56,22,4,Breathin'                                                   ARIANA GRANDE,2018-09-01,22,12,19,Breathin', ARIANA GRANDE,
61,69,54,13,Medicine                                                    QUEEN NAIJA,2018-06-30,100,54,18,Medicine,QUEEN NAIJA,
62,74,62,4,High Hopes                                                  PANIC! AT THE DISCO,2018-09-01,90,5,19,High Hopes,PANIC! AT THE DISCO,
63,64,52,5,W O R K I N M E                                             QUAVO,2018-08-25,72,52,15,W O R K I N M E, QUAVO,
64,24,24,2,"Not Alike                                                   EMINEM featuring ROYCE DA 5'9""",2018-09-15,24,24,3,Not Alike," EMINEM featuring ROYCE DA 5'9""",
65,55,29,19,Mercy                                                       BRETT YOUNG,2018-05-19,97,29,20,Mercy, BRETT YOUNG,
66,80,66,3,Smile (Living My Best Life)                                 LIL' DUVAL featuring SNOOP DOGG & BALL GREEZY,2018-09-08,83,56,17,Smile (Living My Best Life), LIL' DUVAL featuring SNOOP DOGG & BALL GREEZY,
67,82,67,8,Lose It                                                     KANE BROWN,2018-08-04,98,28,19,Lose It, KANE BROWN,
68,70,49,9,Break Up In The End                                         COLE SWINDELL,2018-07-28,91,49,16,Break Up In The End, COLE SWINDELL,
69,88,69,3,The Way I Am                                                CHARLIE PUTH,2018-09-08,87,61,7,The Way I Am,CHARLIE PUTH,
70,NEW,70,1,Hurt Feelings                                               MAC MILLER,2018-09-22,70,70,1,Hurt Feelings, MAC MILLER,
71,61,8,6,Stargazing                                                  TRAVIS SCOTT,2018-08-18,8,8,8,Stargazing,TRAVIS SCOTT,
72,86,65,4,Promises                                                    CALVIN HARRIS & SAM SMITH,2018-09-01,65,65,12,Promises,CALVIN HARRIS & SAM SMITH,
73,59,13,13,Apeshit                                                     THE CARTERS,2018-06-30,13,13,15,Apeshit, THE CARTERS,
74,75,41,18,All Girls Are The Same                                      JUICE WRLD,2018-05-26,92,41,20,All Girls Are The Same,JUICE WRLD,
75,71,63,9,Remind Me To Forget                                         KYGO featuring MIGUEL,2018-07-28,94,63,11,Remind Me To Forget, KYGO featuring MIGUEL,
76,77,66,4,Side Effects                                                THE CHAINSMOKERS featuring EMILY WARREN,2018-09-01,81,66,5,Side Effects,THE CHAINSMOKERS featuring EMILY WARREN,
77,16,16,2,Kamikaze                                                    EMINEM,2018-09-15,16,16,3,Kamikaze,EMINEM,
78,94,78,2,"Thunderclouds                                               LABRINTH, SIA & DIPLO present... LSD",2018-09-15,94,67,4,Thunderclouds," LABRINTH, SIA & DIPLO present... LSD",
79,83,74,4,Drunk Me                                                    MITCHELL TENPENNY,2018-09-01,83,53,19,Drunk Me,MITCHELL TENPENNY,
80,76,58,10,Solo                                                        CLEAN BANDIT featuring DEMI LOVATO,2018-07-21,98,58,12,Solo,CLEAN BANDIT featuring DEMI LOVATO,
81,78,73,7,That's On Me                                                YELLA BEEZY,2018-08-11,92,56,20,That's On Me,YELLA BEEZY,
82,85,80,5,Lie                                                         NF,2018-08-25,96,48,18,Lie, NF,
83,89,81,8,Best Part                                                   DANIEL CAESAR featuring H.E.R.,2018-08-04,81,75,19,Best Part, DANIEL CAESAR featuring H.E.R.,
84,23,23,2,Greatest                                                    EMINEM,2018-09-15,23,23,2,Greatest,EMINEM,
85,84,68,6,Lean Wit Me                                                 JUICE WRLD,2018-08-18,87,68,8,Lean Wit Me, JUICE WRLD,
86,79,25,6,Yosemite                                                    TRAVIS SCOTT,2018-08-18,25,25,8,Yosemite,TRAVIS SCOTT,
87,92,86,3,Drunk Girl                                                  CHRIS JANSON,2018-09-08,86,79,10,Drunk Girl,CHRIS JANSON,
88,91,88,3,Dangerous                                                   MEEK MILL featuring JEREMIH & PNB ROCK,2018-09-08,88,31,18,Dangerous, MEEK MILL featuring JEREMIH & PNB ROCK,
89,97,89,2,Hangin' On                                                  CHRIS YOUNG,2018-09-15,97,63,13,Hangin' On,CHRIS YOUNG,
90,93,85,4,Desperate Man                                               ERIC CHURCH,2018-09-01,94,85,6,Desperate Man, ERIC CHURCH,
91,NEW,91,1,Come Back To Earth                                          MAC MILLER,2018-09-22,91,91,1,Come Back To Earth,MAC MILLER,
92,81,11,3,IDOL                                                        BTS featuring NICKI MINAJ,2018-09-08,11,11,3,IDOL,BTS featuring NICKI MINAJ,
93,54,54,2,Feels Like Summer                                           CHILDISH GAMBINO,2018-09-15,54,54,2,Feels Like Summer, CHILDISH GAMBINO,
94,NEW,94,1,Vaina Loca                                                  OZUNA x MANUEL TURIZO,2018-09-22,94,94,1,Vaina Loca,OZUNA x MANUEL TURIZO,
95,NEW,95,1,Speechless                                                  DAN + SHAY,2018-09-22,95,33,16,Speechless,DAN + SHAY,
96,NEW,96,1,Electricity                                                 SILK CITY x DUA LIPA,2018-09-22,96,96,1,Electricity, SILK CITY x DUA LIPA,
97,95,7,16,I'm Upset                                                   DRAKE,2018-06-09,19,7,16,I'm Upset, DRAKE,
98,99,96,3,Hopeless Romantic                                           WIZ KHALIFA featuring SWAE LEE,2018-09-08,96,96,5,Hopeless Romantic, WIZ KHALIFA featuring SWAE LEE,
99,NEW,99,1,"OTW                                                         KHALID, TY DOLLA $IGN & 6LACK",2018-09-22,99,91,3,OTW," KHALID, TY DOLLA $IGN & 6LACK",
100,98,89,3,Narcos                                                      MIGOS,2018-09-08,89,89,3,Narcos,MIGOS,
1,1,1,10,In My Feelings                                              DRAKE,2018-07-14,6,1,22,In My Feelings,DRAKE,
2,2,2,15,Girls Like You                                              MAROON 5 featuring CARDI B,2018-06-09,94,1,31,Girls Like You,MAROON 5 featuring CARDI B,
3,3,1,22,"I Like It                                                   CARDI B, BAD BUNNY & J BALVIN",2018-04-21,8,1,38,I Like It," CARDI B, BAD BUNNY & J BALVIN",
4,5,3,7,FeFe                                                        6IX9INE featuring NICKI MINAJ & MURDA BEATZ,2018-08-04,4,3,20,FeFe,6IX9INE featuring NICKI MINAJ & MURDA BEATZ,
5,4,4,19,Better Now                                                  POST MALONE,2018-05-12,7,3,35,Better Now,POST MALONE,
6,NEW,6,1,Lucky You                                                   EMINEM featuring JOYNER LUCAS,2018-09-15,6,6,12,Lucky You, EMINEM featuring JOYNER LUCAS,
7,6,3,17,Lucid Dreams                                                JUICE WRLD,2018-05-26,74,2,33,Lucid Dreams,JUICE WRLD,
8,NEW,8,1,The Ringer                                                  EMINEM,2018-09-15,8,8,4,The Ringer,EMINEM,
9,7,4,5,Sicko Mode                                                  TRAVIS SCOTT,2018-08-18,4,1,21,Sicko Mode,TRAVIS SCOTT,
10,8,8,15,Taste                                                       TYGA featuring OFFSET,2018-06-09,82,8,29,Taste, TYGA featuring OFFSET,
11,9,9,29,Love Lies                                                   KHALID & NORMANI,2018-03-03,43,9,45,Love Lies, KHALID & NORMANI,
12,NEW,12,1,Fall                                                        EMINEM,2018-09-15,12,12,4,Fall,EMINEM,
13,15,13,14,Youngblood                                                  5 SECONDS OF SUMMER,2018-06-16,96,7,30,Youngblood,5 SECONDS OF SUMMER,
14,13,5,23,Boo'd Up                                                    ELLA MAI,2018-04-14,78,5,35,Boo'd Up,ELLA MAI,
15,12,5,6,"No Brainer                                                  DJ KHALED featuring JUSTIN BIEBER, CHANCE THE RAPPER & QUAVO",2018-08-11,5,5,15,No Brainer,"DJ KHALED featuring JUSTIN BIEBER, CHANCE THE RAPPER & QUAVO",
16,NEW,16,1,Kamikaze                                                    EMINEM,2018-09-15,16,16,3,Kamikaze,EMINEM,
17,10,8,8,God Is A Woman                                              ARIANA GRANDE,2018-07-28,11,8,22,God Is A Woman,ARIANA GRANDE,
18,17,2,10,Nonstop                                                     DRAKE,2018-07-14,2,2,22,Nonstop, DRAKE,
19,14,3,20,No Tears Left To Cry                                        ARIANA GRANDE,2018-05-05,3,3,27,No Tears Left To Cry,ARIANA GRANDE,
20,24,20,7,Natural                                                     IMAGINE DRAGONS,2018-08-04,37,13,23,Natural, IMAGINE DRAGONS,
21,16,6,17,Yes Indeed                                                  LIL BABY & DRAKE,2018-05-26,49,6,29,Yes Indeed,LIL BABY & DRAKE,
22,19,19,17,Back To You                                                 SELENA GOMEZ,2018-05-26,50,18,26,Back To You, SELENA GOMEZ,
23,NEW,23,1,Greatest                                                    EMINEM,2018-09-15,23,23,2,Greatest,EMINEM,
24,NEW,24,1,"Not Alike                                                   EMINEM featuring ROYCE DA 5'9""",2018-09-15,24,24,3,Not Alike," EMINEM featuring ROYCE DA 5'9""",
25,22,1,51,Perfect                                                     ED SHEERAN,2017-10-07,89,1,54,Perfect, ED SHEERAN,
26,21,2,46,Meant To Be                                                 BEBE REXHA & FLORIDA GEORGIA LINE,2017-11-11,61,2,52,Meant To Be, BEBE REXHA & FLORIDA GEORGIA LINE,
27,20,16,11,"Big Bank                                                    YG featuring 2 CHAINZ, BIG SEAN & NICKI  MINAJ",2018-07-07,56,16,21,Big Bank,"YG featuring 2 CHAINZ, BIG SEAN & NICKI MINAJ",
28,18,1,28,Psycho                                                      POST MALONE featuring TY DOLLA $IGN,2018-03-10,2,1,39,Psycho,POST MALONE featuring TY DOLLA $IGN,
29,25,12,26,Delicate                                                    TAYLOR SWIFT,2018-03-24,84,12,35,Delicate,TAYLOR SWIFT,
30,NEW,30,1,BEBE                                                        6IX9INE featuring ANUEL AA,2018-09-15,30,30,4,BEBE,6IX9INE featuring ANUEL AA,
31,23,1,22,Nice For What                                               DRAKE,2018-04-21,1,1,25,Nice For What, DRAKE,
32,54,32,5,Trip                                                        ELLA MAI,2018-08-18,79,11,21,Trip,ELLA MAI,
33,27,27,30,I Like Me Better                                            LAUV,2018-02-24,96,27,41,I Like Me Better,LAUV,
34,28,28,8,"Eastside                                                    BENNY BLANCO, HALSEY & KHALID",2018-07-28,56,16,24,Eastside,"BENNY BLANCO, HALSEY & KHALID",
35,26,5,32,"The Middle                                                  ZEDD, MAREN MORRIS & GREY",2018-02-10,23,5,40,The Middle,"ZEDD, MAREN MORRIS & GREY",
36,29,1,27,Sad!                                                        XXXTENTACION,2018-03-17,17,1,38,Sad!,XXXTENTACION,
37,30,1,33,God's Plan                                                  DRAKE,2018-02-03,1,1,36,God's Plan,DRAKE,
38,31,21,25,Tequila                                                     DAN + SHAY,2018-03-31,87,21,37,Tequila, DAN + SHAY,
39,NEW,39,1,Normal                                                      EMINEM,2018-09-15,39,39,1,Normal,EMINEM,
40,32,32,14,Simple                                                      FLORIDA GEORGIA LINE,2018-06-16,55,32,20,Simple,FLORIDA GEORGIA LINE,
41,35,35,10,"Sunrise, Sunburn, Sunset                                    LUKE BRYAN",2018-07-14,86,35,16,"Sunrise, Sunburn, Sunset",LUKE BRYAN,
42,NEW,42,1,Stepping Stone                                              EMINEM,2018-09-15,42,42,1,Stepping Stone,EMINEM,
43,33,11,33,Mine                                                        BAZZI,2018-02-03,56,11,34,Mine,BAZZI,
44,39,39,8,I'm A Mess                                                  BEBE REXHA,2018-07-28,92,35,20,I'm A Mess,BEBE REXHA,
45,34,32,12,Drowns The Whiskey                                          JASON ALDEAN featuring MIRANDA LAMBERT,2018-06-30,85,32,16,Drowns The Whiskey,JASON ALDEAN featuring MIRANDA LAMBERT,
46,59,46,3,Happier                                                     MARSHMELLO & BASTILLE,2018-09-01,63,3,19,Happier, MARSHMELLO & BASTILLE,
47,44,44,5,Beautiful                                                   BAZZI featuring CAMILA CABELLO,2018-08-18,60,30,21,Beautiful, BAZZI featuring CAMILA CABELLO,
48,50,48,8,Broken                                                      LOVELYTHEBAND,2018-07-28,84,29,22,Broken,LOVELYTHEBAND,
49,NEW,49,1,Venom                                                       EMINEM,2018-09-15,49,49,1,Venom, EMINEM,
50,46,46,4,Drew Barrymore                                              BRYCE VINE,2018-08-25,91,46,14,Drew Barrymore,BRYCE VINE,
51,36,36,11,Life Changes                                                THOMAS RHETT,2018-07-07,92,36,14,Life Changes,THOMAS RHETT,
52,49,36,20,Te Bote                                                     CASPER MAGICO & NIO GARCIA & DARELL & NICKY JAM & OZUNA & BA,2018-05-05,74,36,21,Te Bote, CASPER MAGICO & NIO GARCIA & DARELL & NICKY JAM & OZUNA & BA,
53,51,51,10,Hotel Key                                                   OLD DOMINION,2018-07-14,93,48,19,Hotel Key, OLD DOMINION,
54,NEW,54,1,Feels Like Summer                                           CHILDISH GAMBINO,2018-09-15,54,54,2,Feels Like Summer, CHILDISH GAMBINO,
55,38,29,18,Mercy                                                       BRETT YOUNG,2018-05-19,97,29,20,Mercy, BRETT YOUNG,
56,37,22,3,Breathin'                                                   ARIANA GRANDE,2018-09-01,22,12,19,Breathin', ARIANA GRANDE,
57,57,57,9,Jackie Chan                                                 TIESTO & DZEKO featuring PREME & POST MALONE,2018-07-21,88,52,19,Jackie Chan, TIESTO & DZEKO featuring PREME & POST MALONE,
58,56,54,7,Africa                                                      WEEZER,2018-08-04,86,51,14,Africa,WEEZER,
59,53,13,12,Apeshit                                                     THE CARTERS,2018-06-30,13,13,15,Apeshit, THE CARTERS,
60,60,60,8,Hooked                                                      DYLAN SCOTT,2018-07-28,85,48,11,Hooked,DYLAN SCOTT,
61,40,8,5,Stargazing                                                  TRAVIS SCOTT,2018-08-18,8,8,8,Stargazing,TRAVIS SCOTT,
62,67,62,3,Ring                                                        CARDI B featuring KEHLANI,2018-09-01,85,36,16,Ring,CARDI B featuring KEHLANI,
63,45,18,4,Barbie Dreams                                               NICKI MINAJ,2018-08-25,18,18,7,Barbie Dreams, NICKI MINAJ,
64,52,52,4,W O R K I N M E                                             QUAVO,2018-08-25,72,52,15,W O R K I N M E, QUAVO,
65,NEW,65,1,Nice Guy                                                    EMINEM & JESSIE REYEZ,2018-09-15,65,65,1,Nice Guy,EMINEM & JESSIE REYEZ,
66,65,65,4,She Got The Best Of Me                                      LUKE COMBS,2018-08-25,95,34,20,She Got The Best Of Me,LUKE COMBS,
67,NEW,67,1,Good Guy                                                    EMINEM featuring JESSIE REYEZ,2018-09-15,67,67,1,Good Guy,EMINEM featuring JESSIE REYEZ,
68,68,68,3,Blue Tacoma                                                 RUSSELL DICKERSON,2018-09-01,77,52,15,Blue Tacoma, RUSSELL DICKERSON,
69,70,54,12,Medicine                                                    QUEEN NAIJA,2018-06-30,100,54,18,Medicine,QUEEN NAIJA,
70,62,49,8,Break Up In The End                                         COLE SWINDELL,2018-07-28,91,49,16,Break Up In The End, COLE SWINDELL,
71,63,63,8,Remind Me To Forget                                         KYGO featuring MIGUEL,2018-07-28,94,63,11,Remind Me To Forget, KYGO featuring MIGUEL,
72,55,53,8,You Say                                                     LAUREN DAIGLE,2018-07-28,53,44,24,You Say, LAUREN DAIGLE,
73,82,73,2,Mo Bamba                                                    SHECK WES,2018-09-08,82,6,18,Mo Bamba,SHECK WES,
74,76,74,3,High Hopes                                                  PANIC! AT THE DISCO,2018-09-01,90,5,19,High Hopes,PANIC! AT THE DISCO,
75,64,41,17,All Girls Are The Same                                      JUICE WRLD,2018-05-26,92,41,20,All Girls Are The Same,JUICE WRLD,
76,61,58,9,Solo                                                        CLEAN BANDIT featuring DEMI LOVATO,2018-07-21,98,58,12,Solo,CLEAN BANDIT featuring DEMI LOVATO,
77,66,66,3,Side Effects                                                THE CHAINSMOKERS featuring EMILY WARREN,2018-09-01,81,66,5,Side Effects,THE CHAINSMOKERS featuring EMILY WARREN,
78,73,73,6,That's On Me                                                YELLA BEEZY,2018-08-11,92,56,20,That's On Me,YELLA BEEZY,
79,58,25,5,Yosemite                                                    TRAVIS SCOTT,2018-08-18,25,25,8,Yosemite,TRAVIS SCOTT,
80,83,80,2,Smile (Living My Best Life)                                 LIL' DUVAL featuring SNOOP DOGG & BALL GREEZY,2018-09-08,83,56,17,Smile (Living My Best Life), LIL' DUVAL featuring SNOOP DOGG & BALL GREEZY,
81,11,11,2,IDOL                                                        BTS featuring NICKI MINAJ,2018-09-08,11,11,3,IDOL,BTS featuring NICKI MINAJ,
82,75,75,7,Lose It                                                     KANE BROWN,2018-08-04,98,28,19,Lose It, KANE BROWN,
83,74,74,3,Drunk Me                                                    MITCHELL TENPENNY,2018-09-01,83,53,19,Drunk Me,MITCHELL TENPENNY,
84,71,68,5,Lean Wit Me                                                 JUICE WRLD,2018-08-18,87,68,8,Lean Wit Me, JUICE WRLD,
85,80,80,4,Lie                                                         NF,2018-08-25,96,48,18,Lie, NF,
86,93,65,3,Promises                                                    CALVIN HARRIS & SAM SMITH,2018-09-01,65,65,12,Promises,CALVIN HARRIS & SAM SMITH,
87,69,69,2,I Am Who They Say I Am                                      YOUNGBOY NEVER BROKE AGAIN featuring KEVIN GATES & QUANDO RO,2018-09-08,69,69,2,I Am Who They Say I Am,YOUNGBOY NEVER BROKE AGAIN featuring KEVIN GATES & QUANDO RO,
88,87,87,2,The Way I Am                                                CHARLIE PUTH,2018-09-08,87,61,7,The Way I Am,CHARLIE PUTH,
89,84,81,7,Best Part                                                   DANIEL CAESAR featuring H.E.R.,2018-08-04,81,75,19,Best Part, DANIEL CAESAR featuring H.E.R.,
90,81,78,3,Chanel (Go Get It)                                          YOUNG THUG featuring GUNNA & LIL BABY,2018-09-01,78,78,3,Chanel (Go Get It),YOUNG THUG featuring GUNNA & LIL BABY,
91,88,88,2,Dangerous                                                   MEEK MILL featuring JEREMIH & PNB ROCK,2018-09-08,88,31,18,Dangerous, MEEK MILL featuring JEREMIH & PNB ROCK,
92,86,86,2,Drunk Girl                                                  CHRIS JANSON,2018-09-08,86,79,10,Drunk Girl,CHRIS JANSON,
93,85,85,3,Desperate Man                                               ERIC CHURCH,2018-09-01,94,85,6,Desperate Man, ERIC CHURCH,
94,NEW,94,1,"Thunderclouds                                               LABRINTH, SIA & DIPLO present... LSD",2018-09-15,94,67,4,Thunderclouds," LABRINTH, SIA & DIPLO present... LSD",
95,77,7,15,I'm Upset                                                   DRAKE,2018-06-09,19,7,16,I'm Upset, DRAKE,
96,79,70,8,1942                                                        G-EAZY featuring YO GOTTI & YBN NAHMIR,2018-07-28,90,70,8,1942,G-EAZY featuring YO GOTTI & YBN NAHMIR,
97,NEW,97,1,Hangin' On                                                  CHRIS YOUNG,2018-09-15,97,63,13,Hangin' On,CHRIS YOUNG,
98,89,89,2,Narcos                                                      MIGOS,2018-09-08,89,89,3,Narcos,MIGOS,
99,96,96,2,Hopeless Romantic                                           WIZ KHALIFA featuring SWAE LEE,2018-09-08,96,96,5,Hopeless Romantic, WIZ KHALIFA featuring SWAE LEE,
100,NEW,100,1,Summertime Magic                                            CHILDISH GAMBINO,2018-09-15,100,100,1,Summertime Magic,CHILDISH GAMBINO,
1,1,1,9,In My Feelings                                              DRAKE,2018-07-14,6,1,22,In My Feelings,DRAKE,
2,2,2,14,Girls Like You                                              MAROON 5 featuring CARDI B,2018-06-09,94,1,31,Girls Like You,MAROON 5 featuring CARDI B,
3,3,1,21,"I Like It                                                   CARDI B, BAD BUNNY & J BALVIN",2018-04-21,8,1,38,I Like It," CARDI B, BAD BUNNY & J BALVIN",
4,5,4,18,Better Now                                                  POST MALONE,2018-05-12,7,3,35,Better Now,POST MALONE,
5,4,3,6,FeFe                                                        6IX9INE featuring NICKI MINAJ & MURDA BEATZ,2018-08-04,4,3,20,FeFe,6IX9INE featuring NICKI MINAJ & MURDA BEATZ,
6,6,3,16,Lucid Dreams                                                JUICE WRLD,2018-05-26,74,2,33,Lucid Dreams,JUICE WRLD,
7,9,4,4,Sicko Mode                                                  TRAVIS SCOTT,2018-08-18,4,1,21,Sicko Mode,TRAVIS SCOTT,
8,10,8,14,Taste                                                       TYGA featuring OFFSET,2018-06-09,82,8,29,Taste, TYGA featuring OFFSET,
9,11,9,28,Love Lies                                                   KHALID & NORMANI,2018-03-03,43,9,45,Love Lies, KHALID & NORMANI,
10,8,8,7,God Is A Woman                                              ARIANA GRANDE,2018-07-28,11,8,22,God Is A Woman,ARIANA GRANDE,
11,NEW,11,1,IDOL                                                        BTS featuring NICKI MINAJ,2018-09-08,11,11,3,IDOL,BTS featuring NICKI MINAJ,
12,12,5,5,"No Brainer                                                  DJ KHALED featuring JUSTIN BIEBER, CHANCE THE RAPPER & QUAVO",2018-08-11,5,5,15,No Brainer,"DJ KHALED featuring JUSTIN BIEBER, CHANCE THE RAPPER & QUAVO",
13,13,5,22,Boo'd Up                                                    ELLA MAI,2018-04-14,78,5,35,Boo'd Up,ELLA MAI,
14,7,3,19,No Tears Left To Cry                                        ARIANA GRANDE,2018-05-05,3,3,27,No Tears Left To Cry,ARIANA GRANDE,
15,15,15,13,Youngblood                                                  5 SECONDS OF SUMMER,2018-06-16,96,7,30,Youngblood,5 SECONDS OF SUMMER,
16,14,6,16,Yes Indeed                                                  LIL BABY & DRAKE,2018-05-26,49,6,29,Yes Indeed,LIL BABY & DRAKE,
17,18,2,9,Nonstop                                                     DRAKE,2018-07-14,2,2,22,Nonstop, DRAKE,
18,16,1,27,Psycho                                                      POST MALONE featuring TY DOLLA $IGN,2018-03-10,2,1,39,Psycho,POST MALONE featuring TY DOLLA $IGN,
19,23,19,16,Back To You                                                 SELENA GOMEZ,2018-05-26,50,18,26,Back To You, SELENA GOMEZ,
20,24,16,10,"Big Bank                                                    YG featuring 2 CHAINZ, BIG SEAN & NICKI  MINAJ",2018-07-07,56,16,21,Big Bank,"YG featuring 2 CHAINZ, BIG SEAN & NICKI MINAJ",
21,21,2,45,Meant To Be                                                 BEBE REXHA & FLORIDA GEORGIA LINE,2017-11-11,61,2,52,Meant To Be, BEBE REXHA & FLORIDA GEORGIA LINE,
22,20,1,50,Perfect                                                     ED SHEERAN,2017-10-07,89,1,54,Perfect, ED SHEERAN,
23,17,1,21,Nice For What                                               DRAKE,2018-04-21,1,1,25,Nice For What, DRAKE,
24,29,24,6,Natural                                                     IMAGINE DRAGONS,2018-08-04,37,13,23,Natural, IMAGINE DRAGONS,
25,19,12,25,Delicate                                                    TAYLOR SWIFT,2018-03-24,84,12,35,Delicate,TAYLOR SWIFT,
26,25,5,31,"The Middle                                                  ZEDD, MAREN MORRIS & GREY",2018-02-10,23,5,40,The Middle,"ZEDD, MAREN MORRIS & GREY",
27,28,27,29,I Like Me Better                                            LAUV,2018-02-24,96,27,41,I Like Me Better,LAUV,
28,31,28,7,"Eastside                                                    BENNY BLANCO, HALSEY & KHALID",2018-07-28,56,16,24,Eastside,"BENNY BLANCO, HALSEY & KHALID",
29,26,1,26,Sad!                                                        XXXTENTACION,2018-03-17,17,1,38,Sad!,XXXTENTACION,
30,27,1,32,God's Plan                                                  DRAKE,2018-02-03,1,1,36,God's Plan,DRAKE,
31,30,21,24,Tequila                                                     DAN + SHAY,2018-03-31,87,21,37,Tequila, DAN + SHAY,
32,36,32,13,Simple                                                      FLORIDA GEORGIA LINE,2018-06-16,55,32,20,Simple,FLORIDA GEORGIA LINE,
33,33,11,32,Mine                                                        BAZZI,2018-02-03,56,11,34,Mine,BAZZI,
34,32,32,11,Drowns The Whiskey                                          JASON ALDEAN featuring MIRANDA LAMBERT,2018-06-30,85,32,16,Drowns The Whiskey,JASON ALDEAN featuring MIRANDA LAMBERT,
35,40,35,9,"Sunrise, Sunburn, Sunset                                    LUKE BRYAN",2018-07-14,86,35,16,"Sunrise, Sunburn, Sunset",LUKE BRYAN,
36,43,36,10,Life Changes                                                THOMAS RHETT,2018-07-07,92,36,14,Life Changes,THOMAS RHETT,
37,22,22,2,Breathin'                                                   ARIANA GRANDE,2018-09-01,22,12,19,Breathin', ARIANA GRANDE,
38,34,29,17,Mercy                                                       BRETT YOUNG,2018-05-19,97,29,20,Mercy, BRETT YOUNG,
39,45,39,7,I'm A Mess                                                  BEBE REXHA,2018-07-28,92,35,20,I'm A Mess,BEBE REXHA,
40,35,8,4,Stargazing                                                  TRAVIS SCOTT,2018-08-18,8,8,8,Stargazing,TRAVIS SCOTT,
41,37,11,29,Friends                                                     MARSHMELLO & ANNE-MARIE,2018-02-24,72,11,29,Friends, MARSHMELLO & ANNE-MARIE,
42,41,6,35,Never Be The Same                                           CAMILA CABELLO,2018-01-13,71,6,35,Never Be The Same, CAMILA CABELLO,
43,39,26,21,One Kiss                                                    CALVIN HARRIS & DUA LIPA,2018-04-21,62,26,21,One Kiss,CALVIN HARRIS & DUA LIPA,
44,50,44,4,Beautiful                                                   BAZZI featuring CAMILA CABELLO,2018-08-18,60,30,21,Beautiful, BAZZI featuring CAMILA CABELLO,
45,38,18,3,Barbie Dreams                                               NICKI MINAJ,2018-08-25,18,18,7,Barbie Dreams, NICKI MINAJ,
46,57,46,3,Drew Barrymore                                              BRYCE VINE,2018-08-25,91,46,14,Drew Barrymore,BRYCE VINE,
47,48,13,11,Moonlight                                                   XXXTENTACION,2018-06-30,16,13,11,Moonlight, XXXTENTACION,
48,44,22,21,Get Along                                                   KENNY CHESNEY,2018-04-21,85,22,21,Get Along, KENNY CHESNEY,
49,47,36,19,Te Bote                                                     CASPER MAGICO & NIO GARCIA & DARELL & NICKY JAM & OZUNA & BA,2018-05-05,74,36,21,Te Bote, CASPER MAGICO & NIO GARCIA & DARELL & NICKY JAM & OZUNA & BA,
50,51,50,7,Broken                                                      LOVELYTHEBAND,2018-07-28,84,29,22,Broken,LOVELYTHEBAND,
51,52,51,9,Hotel Key                                                   OLD DOMINION,2018-07-14,93,48,19,Hotel Key, OLD DOMINION,
52,96,52,3,W O R K I N M E                                             QUAVO,2018-08-25,72,52,15,W O R K I N M E, QUAVO,
53,46,13,11,Apeshit                                                     THE CARTERS,2018-06-30,13,13,15,Apeshit, THE CARTERS,
54,67,54,4,Trip                                                        ELLA MAI,2018-08-18,79,11,21,Trip,ELLA MAI,
55,56,53,7,You Say                                                     LAUREN DAIGLE,2018-07-28,53,44,24,You Say, LAUREN DAIGLE,
56,54,54,6,Africa                                                      WEEZER,2018-08-04,86,51,14,Africa,WEEZER,
57,58,57,8,Jackie Chan                                                 TIESTO & DZEKO featuring PREME & POST MALONE,2018-07-21,88,52,19,Jackie Chan, TIESTO & DZEKO featuring PREME & POST MALONE,
58,53,25,4,Yosemite                                                    TRAVIS SCOTT,2018-08-18,25,25,8,Yosemite,TRAVIS SCOTT,
59,63,59,2,Happier                                                     MARSHMELLO & BASTILLE,2018-09-01,63,3,19,Happier, MARSHMELLO & BASTILLE,
60,60,60,7,Hooked                                                      DYLAN SCOTT,2018-07-28,85,48,11,Hooked,DYLAN SCOTT,
61,59,58,8,Solo                                                        CLEAN BANDIT featuring DEMI LOVATO,2018-07-21,98,58,12,Solo,CLEAN BANDIT featuring DEMI LOVATO,
62,49,49,7,Break Up In The End                                         COLE SWINDELL,2018-07-28,91,49,16,Break Up In The End, COLE SWINDELL,
63,66,63,7,Remind Me To Forget                                         KYGO featuring MIGUEL,2018-07-28,94,63,11,Remind Me To Forget, KYGO featuring MIGUEL,
64,61,41,16,All Girls Are The Same                                      JUICE WRLD,2018-05-26,92,41,20,All Girls Are The Same,JUICE WRLD,
65,74,65,3,She Got The Best Of Me                                      LUKE COMBS,2018-08-25,95,34,20,She Got The Best Of Me,LUKE COMBS,
66,81,66,2,Side Effects                                                THE CHAINSMOKERS featuring EMILY WARREN,2018-09-01,81,66,5,Side Effects,THE CHAINSMOKERS featuring EMILY WARREN,
67,85,67,2,Ring                                                        CARDI B featuring KEHLANI,2018-09-01,85,36,16,Ring,CARDI B featuring KEHLANI,
68,77,68,2,Blue Tacoma                                                 RUSSELL DICKERSON,2018-09-01,77,52,15,Blue Tacoma, RUSSELL DICKERSON,
